                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.4785,                 1.0687,                  1.448,                 1.5183,                 1.2349,                 1.4163,                0.67014,                0.59411,                0.62951,                0.27638,                 1.6642,                 1.2193,                 1.6342,                 1.6826,                 1.3596,                 1.5256,             0.00083482,             0.00083482,             0.00083482
                     24,                 1.4473,                 1.0739,                 1.4347,                 1.4895,                 1.2572,                 1.3999,                0.68834,                0.57168,                0.65805,                0.29836,                  1.581,                  1.171,                 1.5377,                  1.581,                 1.2678,                 1.4793,             0.00080653,             0.00080653,             0.00080653
                     25,                 1.4557,                 1.0542,                 1.4286,                 1.4871,                 1.2371,                 1.4001,                0.59976,                0.63493,                0.64871,                0.29053,                 1.6423,                 1.1536,                 1.5491,                  1.657,                 1.3736,                 1.5052,             0.00077823,             0.00077823,             0.00077823
                     26,                 1.4853,                 1.0414,                 1.4328,                   1.52,                 1.1961,                 1.3923,                  0.703,                0.69966,                0.74038,                 0.3691,                 1.6258,                0.99676,                 1.6012,                 1.6762,                 1.0185,                  1.556,             0.00074994,             0.00074994,             0.00074994
                     27,                 1.4495,                 1.0251,                 1.4065,                 1.4934,                 1.1694,                 1.3695,                0.71168,                0.68806,                0.72916,                 0.3523,                 1.6451,                0.96011,                 1.5705,                 1.6726,                 1.0355,                   1.47,             0.00072164,             0.00072164,             0.00072164
                     28,                 1.4199,                 1.0168,                 1.4019,                 1.4748,                 1.1752,                 1.3722,                0.70057,                0.69289,                0.71969,                0.35866,                 1.5917,                 1.1043,                 1.5586,                 1.6018,                 1.1043,                 1.5326,             0.00069335,             0.00069335,             0.00069335
                     29,                 1.4232,                0.98892,                 1.3822,                 1.4572,                 1.1377,                 1.3488,                0.78646,                0.68816,                0.75865,                 0.3775,                 1.5747,                 0.9178,                 1.5302,                 1.5757,                0.90076,                 1.4713,             0.00066506,             0.00066506,             0.00066506
                     30,                 1.3936,                0.97593,                 1.3958,                  1.435,                 1.1189,                 1.3789,                0.74172,                0.71263,                0.76196,                0.38787,                 1.5785,                0.88577,                   1.55,                  1.517,                0.86204,                 1.4233,             0.00063676,             0.00063676,             0.00063676
                     31,                 1.3918,                0.97319,                 1.3919,                 1.4363,                 1.1266,                 1.3763,                0.84781,                0.63209,                0.76842,                0.38708,                 1.5103,                0.88578,                 1.5301,                 1.4918,                0.87272,                 1.4968,             0.00060847,             0.00060847,             0.00060847
                     32,                 1.4163,                0.97751,                 1.3914,                 1.4616,                 1.1173,                 1.3743,                0.72574,                0.72819,                 0.7717,                0.39395,                 1.5798,                 0.8798,                  1.494,                 1.5499,                0.98755,                  1.409,             0.00058017,             0.00058017,             0.00058017
                     33,                 1.3535,                0.92286,                 1.3445,                 1.3923,                 1.0689,                 1.3219,                0.75955,                0.74796,                0.79087,                 0.3869,                 1.5584,                0.89386,                 1.4869,                 1.5011,                0.95584,                 1.3976,             0.00055188,             0.00055188,             0.00055188
                     34,                 1.3474,                0.90232,                  1.348,                 1.3942,                 1.0082,                 1.3273,                0.75621,                0.76835,                0.80026,                0.40121,                 1.5905,                0.87456,                 1.5511,                 1.5906,                 0.9694,                  1.453,             0.00052359,             0.00052359,             0.00052359
                     35,                 1.3625,                0.90038,                 1.3439,                 1.4107,                 1.0227,                 1.3286,                  0.854,                0.67593,                0.79837,                0.39415,                 1.5525,                0.80256,                 1.5125,                 1.5319,                0.83865,                 1.4119,             0.00049529,             0.00049529,             0.00049529
                     36,                 1.3315,                0.90139,                 1.3439,                 1.3725,                 1.0188,                 1.3261,                0.72327,                0.73587,                0.75394,                0.37718,                 1.6409,                0.86057,                 1.5461,                  1.639,                0.87862,                 1.4463,               0.000467,               0.000467,               0.000467
                     37,                 1.3592,                0.89193,                 1.3452,                 1.4181,                 1.0083,                 1.3289,                 0.8122,                0.76887,                0.82598,                 0.4108,                 1.4786,                0.79835,                 1.4303,                 1.4392,                0.84505,                  1.359,              0.0004387,              0.0004387,              0.0004387
                     38,                 1.3063,                0.85133,                 1.3221,                 1.3711,                0.97089,                 1.3144,                 0.7718,                 0.7675,                0.81285,                0.41623,                 1.5519,                 0.7947,                 1.5248,                 1.6025,                0.81308,                  1.577,             0.00041041,             0.00041041,             0.00041041
                     39,                 1.2926,                0.82729,                 1.3238,                 1.3511,                0.90888,                 1.3076,                0.86053,                0.73686,                0.82774,                0.42062,                 1.5602,                0.79431,                 1.5254,                 1.5109,                0.82477,                 1.3953,             0.00038211,             0.00038211,             0.00038211
                     40,                 1.2958,                0.83813,                 1.3216,                 1.3467,                0.94976,                 1.3078,                0.79173,                 0.7607,                0.81899,                0.41448,                 1.6021,                 0.7869,                 1.5493,                  1.586,                 0.8493,                 1.4246,             0.00035382,             0.00035382,             0.00035382
                     41,                 1.2592,                0.74575,                 1.3531,                 1.3119,                0.75019,                 1.3467,                0.88772,                0.68487,                0.79732,                0.40684,                 1.5808,                0.84868,                 1.5001,                 1.6054,                0.81998,                 1.4096,             0.00032553,             0.00032553,             0.00032553
                     42,                 1.2343,                0.67928,                 1.3168,                 1.2765,                0.67491,                 1.3087,                0.77357,                0.76144,                0.79953,                0.40291,                 1.4877,                0.81928,                 1.4494,                 1.5073,                0.83444,                 1.3892,             0.00029723,             0.00029723,             0.00029723
                     43,                 1.2409,                0.67121,                 1.3285,                 1.2778,                0.68237,                  1.308,                0.80438,                0.73689,                0.80107,                0.41465,                   1.51,                0.76193,                 1.5041,                 1.5603,                0.79147,                  1.441,             0.00026894,             0.00026894,             0.00026894
                     44,                 1.2323,                0.67598,                 1.3147,                  1.303,                0.68767,                 1.3071,                0.85069,                0.74822,                0.83002,                0.40481,                 1.6523,                0.81376,                  1.547,                 1.6812,                0.80044,                 1.5042,             0.00024064,             0.00024064,             0.00024064
                     45,                 1.2041,                0.63662,                 1.3221,                 1.2348,                0.62756,                 1.2973,                0.87832,                0.70879,                0.82498,                0.40963,                 1.6228,                0.80003,                 1.5759,                 1.6486,                0.90724,                 1.4541,             0.00021235,             0.00021235,             0.00021235
                     46,                 1.1854,                0.62604,                 1.2927,                 1.2366,                0.61588,                 1.2903,                0.85213,                0.78619,                0.84312,                  0.437,                 1.5539,                 0.8022,                 1.5386,                  1.543,                0.83415,                  1.408,             0.00018406,             0.00018406,             0.00018406
                     47,                 1.1623,                0.62732,                 1.2831,                 1.2024,                0.62693,                 1.2697,                0.82125,                0.77117,                0.83035,                0.43746,                 1.4893,                0.78008,                 1.4973,                 1.4729,                0.80352,                 1.3766,             0.00015576,             0.00015576,             0.00015576
                     48,                 1.1697,                0.61467,                 1.2692,                   1.21,                0.61644,                 1.2507,                0.84177,                0.76976,                0.83492,                0.43187,                 1.4962,                0.74631,                 1.5117,                 1.5161,                 0.8041,                 1.3814,             0.00012747,             0.00012747,             0.00012747
                     49,                  1.113,                0.59395,                 1.2642,                 1.1537,                0.58843,                 1.2524,                 0.8853,                0.75958,                0.83888,                0.43282,                 1.5248,                0.73613,                 1.5119,                 1.5124,                0.79029,                 1.3833,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                 1.0941,                0.57048,                 1.2337,                 1.1291,                0.56141,                  1.221,                0.84555,                0.76151,                0.83381,                0.42769,                 1.5455,                0.72812,                 1.5389,                 1.5193,                0.81713,                 1.4137,             7.0878e-05,             7.0878e-05,             7.0878e-05
